DateStart,DateEnd,Course,Place,Status,Conduct
6-3-2020,17-3-2020,10D,D_MDL,TC,UKMS
6-3-2020,17-3-2020,10D,D_Mahima,TC,USW
12-3-2020,23-3-2020,10D,D_Laba,TC,UTH
5-3-2020,16-3-2020,10D,D_Nidhi,Run,USL
5-3-2020,13-3-2020,Teen,D_Hitasukha,Run,UKO
6-3-2020,8-3-2020,2D,D_Joti,TC,UMKUMML
10-3-2020,21-3-2020,10D,D_Joti,TC,UHA
27-3-2020,7-4-2020,10D,Temp_Ingyinpin,TC,DKMM
16-3-2020,27-3-2020,10D,Temp_Pulaw,TC,USW
22-3-2020,2-4-2020,10D,D_Makuta,TC,USW
25-3-2020,5-4-2020,10D,Temp_Muse,TC,UTH
21-3-2020,21-3-2020,Childr,Temp_Kalay,TC,UBT
26-3-2020,3-4-2020,Teen,D_MDL,TC,UTHUKO
14-3-2020,25-3-2020,10D,D_Vimutti,TC,UKMS
24-3-2020,4-4-2020,10D,D_Mahima,TC,USSL
24-4-2020,4-4-2020,10D,D_Hitasukha,TC,UMML
23-3-2020,31-3-2020,Teen,D_Manoramma,TC,UTTOUMK
15-3-2020,26-3-2020,10D,D_Rakhita,TC,UWM
21-3-2020,1-4-2020,10D,D_Nidhi,TC,UMMT
6-3-2020,17-3-2020,10D,D_MDL,TC,UAKNW
